distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,10,2,0.95,5,11.5,3058.050250000001,2015.3945449494938,2079.61558,2095.12413,1961,7648
binom,0.5,10,2,0.95,6,11.5,2882.1064999999962,1913.9466323232307,1985.6259499999983,1991.692765999998,4796,4740
binom,0.5,10,2,0.95,7,11.5,3096.1351832917694,1953.4572120909847,2023.574947331671,2031.6201016957607,2821,8182
binom,0.5,10,2,0.95,8,11.5,3019.0358990024934,1944.729560626212,2010.789900498753,2018.3013397755612,7493,1964
binom,0.5,10,2,0.95,9,11.5,2897.1822500000003,1912.800102525252,1976.66032,1981.88895,2714,1656
binom,0.5,10,2,0.975,0,11.5,3222.412187499998,2128.03250340909,2207.4190447499986,2282.2927119999986,7351,8888
binom,0.5,10,2,0.975,1,11.5,3266.736,2120.6852636363637,2201.5270800000003,2229.04288,2119,6888
binom,0.5,10,2,0.975,2,11.5,3360.248687500001,2196.1555208333334,2273.1274775,2313.6190075000004,6672,6138
binom,0.5,10,2,0.975,3,11.5,3120.004,2046.762,2130.10487,2158.45982,2561,8242
binom,0.5,10,2,0.975,4,11.5,3086.4253020966676,2057.634605681819,2137.7632675000004,2142.4303475,1707,4717
binom,0.5,10,2,0.975,5,11.5,3078.566,2043.9945343181823,2133.0819732500004,2158.860324625,4794,4940
binom,0.5,10,2,0.975,6,11.5,3182.276,2113.5616727272736,2195.39084,2208.93534,6546,4458
binom,0.5,10,2,0.975,7,11.5,3210.019,2115.9594272727277,2200.0648999999994,2214.43271,4307,737
binom,0.5,10,2,0.975,8,11.5,3196.814,2110.589015151514,2195.8197,2208.7909,8536,2790
binom,0.5,10,2,0.975,9,11.5,3138.66915204865,2063.0622583333316,2139.442539999999,2150.0587574999986,5155,8996
binom,0.5,10,2,0.99,0,11.5,3458.032,2342.542969303031,2423.8053158999996,2474.5949512,5769,5042
binom,0.5,10,2,0.99,1,11.5,3434.867250000001,2264.8085817777765,2343.8379987000003,2378.0436975999996,6034,2901
